,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
0,2023-03-01,295833,3170609,10.75,10.75,10.7,10.7,-0.05,267
1,2023-03-02,453107,4873608,10.75,10.85,10.7,10.75,0.05,234
2,2023-03-03,685580,7433951,10.85,10.9,10.8,10.85,0.1,351
3,2023-03-06,1775196,19570099,10.8,11.2,10.8,11.15,0.3,760
4,2023-03-07,1472316,16476435,11.15,11.45,10.95,11.15,0.0,738
5,2023-03-08,888398,9785605,11.1,11.15,10.95,11.0,-0.15,456
6,2023-03-09,667703,7282058,11.1,11.1,10.85,10.85,-0.15,394
7,2023-03-10,1052189,11271824,10.75,10.8,10.65,10.65,-0.2,534
8,2023-03-13,824221,8658909,10.6,10.65,10.4,10.55,-0.1,373
9,2023-03-14,353251,3730510,10.6,10.65,10.5,10.5,-0.05,276
10,2023-03-15,487480,5134852,10.65,10.7,10.45,10.45,-0.05,406
11,2023-03-16,1034460,10677872,10.45,10.5,10.2,10.2,-0.25,464
12,2023-03-17,416489,4287122,10.3,10.45,10.2,10.35,0.15,225
13,2023-03-20,307876,3189311,10.35,10.45,10.3,10.3,-0.05,190
14,2023-03-21,736051,7601748,10.3,10.55,10.2,10.45,0.15,372
15,2023-03-22,760424,7956496,10.5,10.65,10.35,10.45,0.0,367
16,2023-03-23,363846,3793618,10.5,10.5,10.35,10.4,-0.05,237
17,2023-03-24,852203,8851274,10.45,10.55,10.3,10.5,0.1,386
18,2023-03-27,416569,4357725,10.5,10.55,10.4,10.5,0.0,773
19,2023-03-28,363219,3771717,10.5,10.55,10.3,10.3,-0.2,605
20,2023-03-29,304952,3165336,10.4,10.5,10.3,10.35,0.05,323
21,2023-03-30,329343,3439316,10.45,10.5,10.35,10.45,0.1,225
22,2023-03-31,789655,8142540,10.5,10.5,10.25,10.4,-0.05,458
23,2023-04-06,408015,4193459,10.3,10.35,10.25,10.25,-0.15,576
24,2023-04-07,283665,2917708,10.3,10.35,10.25,10.3,0.05,363
25,2023-04-10,358555,3670489,10.3,10.3,10.2,10.3,0.0,525
26,2023-04-11,405552,4153378,10.3,10.3,10.2,10.25,-0.05,482
27,2023-04-12,735389,7515612,10.3,10.3,10.2,10.2,-0.05,633
28,2023-04-13,554712,5673552,10.25,10.3,10.15,10.2,0.0,761
29,2023-04-14,814175,8416574,10.3,10.45,10.2,10.4,0.2,459
30,2023-04-17,547185,5641607,10.3,10.4,10.25,10.35,-0.05,314
31,2023-04-18,915934,9659363,10.9,10.9,10.4,10.4,0.05,390
32,2023-04-19,871138,9013250,10.5,10.55,10.25,10.35,-0.05,377
33,2023-04-20,907359,9260230,10.3,10.35,10.15,10.15,-0.2,354
34,2023-04-21,528844,5364170,10.15,10.25,10.1,10.15,0.0,248
35,2023-04-24,264834,2690216,10.15,10.25,10.1,10.15,0.0,158
36,2023-04-25,688619,6922085,10.15,10.2,9.99,9.99,-0.16,379
37,2023-04-26,424593,4236990,10.0,10.05,9.94,10.0,0.01,289
38,2023-04-27,171107,1722982,10.0,10.1,10.0,10.1,0.1,223
39,2023-04-28,203597,2059386,10.15,10.2,10.05,10.15,0.05,181
40,2023-05-02,525354,5276186,10.15,10.15,10.0,10.1,-0.05,237
41,2023-05-03,342712,3455899,10.1,10.15,10.0,10.1,0.0,857
42,2023-05-04,213462,2147004,10.1,10.1,10.0,10.05,-0.05,544
43,2023-05-05,284347,2859316,10.05,10.1,10.0,10.05,0.0,356
44,2023-05-08,227199,2290056,10.2,10.2,10.0,10.05,0.0,164
45,2023-05-09,445928,4468838,10.25,10.25,9.97,9.99,-0.06,256
46,2023-05-10,268240,2692711,10.05,10.1,10.0,10.0,0.01,154
47,2023-05-11,475603,4741546,10.0,10.05,9.94,9.94,-0.06,293
48,2023-05-12,227370,2262076,10.0,10.0,9.91,9.94,0.0,253
49,2023-05-15,462262,4581254,9.94,9.96,9.87,9.9,-0.04,356
50,2023-05-16,315590,3134191,9.9,10.0,9.9,9.93,0.03,289
51,2023-05-17,888715,8758507,9.9,9.94,9.78,9.9,-0.03,1323
52,2023-05-18,501642,4941942,9.99,9.99,9.81,9.82,-0.08,636
53,2023-05-19,366756,3607728,9.82,9.91,9.8,9.82,0.0,346
54,2023-05-22,420366,4129354,9.82,9.88,9.8,9.83,0.01,476
55,2023-05-23,1180673,11951294,9.84,10.35,9.84,10.15,0.32,524
56,2023-05-24,510102,5112074,10.05,10.1,9.97,10.0,-0.15,379
57,2023-05-25,676311,6869119,10.1,10.25,10.05,10.15,0.15,313
58,2023-05-26,368475,3695140,10.2,10.2,9.98,9.98,-0.17,288
59,2023-05-29,227407,2276287,10.05,10.05,9.97,10.0,0.02,218
60,2023-05-30,466965,4675700,10.1,10.1,9.96,9.97,-0.03,320
61,2023-05-31,450571,4506868,10.0,10.05,9.98,10.05,0.08,184
62,2023-06-01,469846,4693451,10.05,10.05,9.95,10.0,-0.05,350
63,2023-06-02,470312,4735039,10.05,10.15,10.0,10.05,0.05,247
64,2023-06-05,528029,5319177,10.1,10.2,10.0,10.0,-0.05,304
65,2023-06-06,919446,9356648,10.05,10.25,10.05,10.25,0.25,408
66,2023-06-07,1189570,12368451,10.25,10.5,10.25,10.5,0.25,593
67,2023-06-08,960718,9902471,10.5,10.5,10.1,10.25,-0.25,472
68,2023-06-09,366517,3738086,10.25,10.3,10.15,10.15,-0.1,241
69,2023-06-12,337064,3396307,10.2,10.2,10.0,10.0,-0.15,259
70,2023-06-13,366759,3697746,10.05,10.15,10.05,10.05,0.05,238
71,2023-06-14,461558,4642338,10.0,10.15,10.0,10.1,0.05,410
72,2023-06-15,462268,4658322,10.05,10.15,10.05,10.15,0.05,281
73,2023-06-16,503612,5086964,10.1,10.15,10.05,10.1,-0.05,336
74,2023-06-19,411524,4139733,10.1,10.1,10.05,10.05,-0.05,291
75,2023-06-20,227931,2291338,10.1,10.1,10.0,10.1,0.05,175
76,2023-06-21,755971,7565271,10.05,10.05,9.98,10.0,-0.1,472
77,2023-06-26,344756,3451389,10.05,10.05,9.98,10.05,0.05,323
78,2023-06-27,489506,4882508,10.0,10.0,9.94,9.98,-0.07,502
79,2023-06-28,212564,2121430,9.98,10.0,9.97,9.97,-0.01,182
80,2023-06-29,251390,2507729,9.97,10.0,9.94,9.94,-0.03,240
81,2023-06-30,458235,4539663,9.9,9.93,9.89,9.9,-0.04,471
82,2023-07-03,351046,3492769,9.93,9.98,9.92,9.94,0.04,260
83,2023-07-04,436101,4328491,9.96,9.98,9.89,9.89,-0.05,298
84,2023-07-05,292659,2902988,9.89,9.95,9.89,9.92,0.03,208
